source_id,source_name,source_url,item_url,title,summary,language,score,tags,first_seen,last_seen,deadline,amount,eligibility,country,level
udem_bourses,Université de Montréal – Bourses,https://bourses.umontreal.ca,https://bourses.umontreal.ca/repertoire-des-bourses/detail-dune-bourse/bid/2197/bsl/Bourses-d-études-supérieures-en-recherche-du-Canada-Doctorat-CRSH-CRSNG-IRSC-,Bourses d'études supérieures en recherche du Canada - Doctorat (CRSH/CRSNG/IRSC) Montant : 40 000$/année (Max. 3 ans) Date limite : 8 septembre 2025 Le programme de Bourses d'études supérieures en recherche du Canada au niveau du doctorat (BESRC D) vise à reconnaître et à soutenir la relève remarqua,,fr,9,"ai,bourse,bourses,deadline,it,ti,études supérieures",2025-08-09T20:43:24.966976+00:00,2025-08-09T20:43:24.966976+00:00,2025-09-08,$ 40000,eu,Canada,PhD
udem_bourses,Université de Montréal – Bourses,https://bourses.umontreal.ca,https://bourses.umontreal.ca/repertoire-des-bourses/detail-dune-bourse/bid/2166/bsl/Reconnaissance-des-Premiers-Peuples-par-les-Services-à-la-vie-étudiante,Reconnaissance des Premiers Peuples par les Services à la vie étudiante Montant : Montants variables Date limite : 11 septembre 2025 Bourses provenant de différents fonds pour encourager et reconnaitre les personnes aux études issues des Premiers Peuples.,,fr,8,"ai,bourse,bourses,deadline,ia,it",2025-08-09T20:43:24.966976+00:00,2025-08-09T20:43:24.966976+00:00,2025-09-11,11,eu,,
udem_bourses,Université de Montréal – Bourses,https://bourses.umontreal.ca,https://bourses.umontreal.ca/repertoire-des-bourses/detail-dune-bourse/bid/2202/bsl/Bourse-de-congé-parental,Bourse de congé parental Montant : 6 000 $ Date limite : 28 octobre 2025,,fr,8,"ai,bourse,bourses,deadline,it,tal",2025-08-09T20:43:24.966976+00:00,2025-08-09T20:43:24.966976+00:00,2025-10-28,$ 6000,,,
udem_bourses,Université de Montréal – Bourses,https://bourses.umontreal.ca,https://bourses.umontreal.ca/repertoire-des-bourses/detail-dune-bourse/bid/2200/bsl/Bourses-de-maîtrise-de-doctorat-en-recherche-et-de-réintégration-bourses-postdoctorales-Fonds-de-recherche-du-Québec-Tous-les-secteurs,"Bourses de maîtrise, de doctorat en recherche et de réintégration, bourses postdoctorales Fonds de recherche du Québec – Tous les secteurs Montant : Maîtrise: 20 000 $ à 39 323$ / an (max. 6 sessions); Doctorat: 25 000 $ à 39 323 $/ an (max. 12 sessions); Postdoctorat et Post-diplôme professionnel:",,fr,12,"ai,bourse,bourses,deadline,fellowship,it,maîtrise,ti",2025-08-09T20:43:24.966976+00:00,2025-08-09T20:43:24.966976+00:00,,$ 20000,eu,Canada,Master
uoft_sgs_awards,University of Toronto – SGS Awards,https://www.sgs.utoronto.ca,https://www.sgs.utoronto.ca/awards/nags-masters-thesis-and-doctoral-dissertation-awards,NAGS Master’s Thesis and Doctoral Dissertation Awards,,en,11,"awards,dissertation,master,masters,thesis,ti",2025-08-09T20:44:22.155810+00:00,2025-08-09T20:44:22.155810+00:00,,,,,Master
si_swedish_institute,Swedish Institute – Global Professionals,https://si.se,https://si.se/en/apply/faq-scholarships-on-masters-level,Frequently Asked Questions.,,en,10,"master,masters,scholarship,scholarships,ti",2025-08-09T20:43:22.516508+00:00,2025-08-09T20:43:22.516508+00:00,,,,,
uoft_sgs_awards,University of Toronto – SGS Awards,https://www.sgs.utoronto.ca,https://www.sgs.utoronto.ca/awards/canada-graduate-scholarships-cgs-m-program,Canada Graduate Scholarships-Master’s (CGS-M) Program,,en,10,"awards,graduate,master,scholarship,scholarships",2025-08-09T20:44:22.155810+00:00,2025-08-09T20:44:22.155810+00:00,,,,Canada,Master
udem_bourses,Université de Montréal – Bourses,https://bourses.umontreal.ca,https://bourses.umontreal.ca/repertoire-des-bourses/detail-dune-bourse/bid/2078/bsl/Bourses-d-excellence-Nguyen-Van-Hoc-et-Bùi-Thi-Xuan-Dien-Nguyen-Hung-Anh-et-Thai-Dieu-Loan,Bourses d'excellence Nguyen Van Hoc et Bùi Thi Xuan Dien / Nguyen Hung Anh et Thai Dieu Loan Montant : 3 000$ Date limite : Aucune date limite Bourses d'excellence offertes aux étudiant(e)s du baccalauréat et du doctorat de 1er cycle ayant la plus forte cote R à l'admission.,,fr,8,"ai,bourse,bourses,deadline,ia,it",2025-08-09T20:43:24.966976+00:00,2025-08-09T20:43:24.966976+00:00,,$ 3000,eu,,PhD
si_swedish_institute,Swedish Institute – Global Professionals,https://si.se,https://www.universityadmissions.se/en/apply-to-masters,UniversityAdmissions.se,,en,8,"it,master,masters",2025-08-09T20:43:22.516508+00:00,2025-08-09T20:43:22.516508+00:00,,,,,
uoft_sgs_awards,University of Toronto – SGS Awards,https://www.sgs.utoronto.ca,https://www.sgs.utoronto.ca/awards-category/masters-awards,Master's Awards,,en,8,"awards,master,masters",2025-08-09T20:44:22.155810+00:00,2025-08-09T20:44:22.155810+00:00,,,,,Master
uoft_sgs_awards,University of Toronto – SGS Awards,https://www.sgs.utoronto.ca,https://www.sgs.utoronto.ca/awards-funding/scholarships-awards/ontario-graduate-scholarship-application-instructions,Ontario Graduate Scholarship Application Instructions,,en,8,"awards,funding,graduate,scholarship,scholarships,ti",2025-08-09T20:44:22.155810+00:00,2025-08-09T20:44:22.155810+00:00,,,,Canada,
uoft_sgs_awards,University of Toronto – SGS Awards,https://www.sgs.utoronto.ca,https://www.sgs.utoronto.ca/awards-funding/scholarships-awards/ontario-graduate-scholarship-application-instructions/referee-instructions,U of T OGS Academic Assessment Report — Instructions for Referees,,en,8,"awards,funding,graduate,scholarship,scholarships,ti",2025-08-09T20:44:22.155810+00:00,2025-08-09T20:44:22.155810+00:00,,,,,
educanada_non_can,EduCanada – Scholarships for non-Canadians,https://www.educanada.ca,https://www.educanada.ca/scholarships-bourses/non_can/index.aspx?lang=eng%2Fprograms-programmes%2Feducation_cost-cout_education.aspx%3Flang%3Deng,Study costs for international students,,en,7,"bourse,bourses,international students,ms,scholarship,scholarships,ti",2025-08-09T20:42:35.202187+00:00,2025-08-09T20:42:35.202187+00:00,,,international,,
educanada_non_can,EduCanada – Scholarships for non-Canadians,https://www.educanada.ca,https://www.educanada.ca/scholarships-bourses/non_can/index.aspx?lang=eng%2Fscholarships-bourses%2Fcan%2Finstitutions%2Fstudy-in-canada-sep-etudes-au-canada-pct.aspx%3Flang%3Deng,Study in Canada Scholarships,,en,7,"bourse,bourses,canada scholarship,it,scholarship,scholarships,ti",2025-08-09T20:42:35.202187+00:00,2025-08-09T20:42:35.202187+00:00,,,,Canada,
tum_scholarships,TU Munich – Scholarships,https://www.tum.de,https://www.tum.de/scholarships/en/studies/application/application-info-portal/application-for-master-craftspersons-and-qualified-professionals,Application for master craftspersons and qualified professionals,,en|de,7,"master,scholarship,scholarships,tal,ti",2025-08-09T20:44:36.960154+00:00,2025-08-09T20:44:36.960154+00:00,,,,,Master
